,Unnamed: 0.1,Unnamed: 0,Title,Session_Code,Author,Affiliations,Text,Year,Authors_and_Affiliations,Email,Sentence,Person-first,Identity-first,PF_nouns,IF_nouns
26,1063,1120," AKAPs integrate genome wide association findings for autism spectrum disorders into signalling networks regulating steroidogenesis, neurite outgrowth and synaptic function",P09.039,"G. Poelmans1, B. Franke2, D. L. Pauls3, J. K. Buitelaar1","1Department of Cognitive Neuroscience, Donders Institute for Brain, Cognition  and Behaviour, Radboud University Nijmegen Medical Centre, Nijmegen,  Netherlands, 2Departments of Human Genetics and Psychiatry, Donders  Institute for Brain, Cognition and Behaviour, Radboud University Nijmegen Medical Centre, Nijmegen, Netherlands,  3Psychiatric and Neurodevelopmental  Genetics Unit, Center for Human Genetic Research, Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States","Background: autism are highly heritable. In recent years, several genome wide association studies (GWASD)  of ASD were published. Methods: We have carried out a bioinformatics analysis using Ingenuity and a systematic literature analysis of 200 genes from five published GWASD  that yielded association with ASD through single nucleotide polymorphisms at P < 0.0001, and we used the results from a sixth published GWASD  to validate our findings. We also searched for overlap between the identified candidate genes and genes located in copy number variations (CNVs) in people with ASD and we identified microRNAs that downregulate gene expression of ASD candidate genes and are deregulated in ASD. Results: A total of 120 of the 200 ASD candidate genes encode proteins that fit into three signalling networks regulating steroidogenesis, neurite outgrowth and synaptic function, and we were able to place 50 other ASD candidate genes in the identified networks. The proteins encoded by 11 ASD linked AKAP (A kinase anchor protein) genes functionally integrate signalling cascades within and between these networks. Lastly, we found that 70 of the 200 ASD candidate genes were found in CNVs in people with ASD and 100 of these genes were downregulated by ASD implicated microRNAs. ConclusionsWe have identified three signalling networks for ASD that contribute to our understanding of the molecular basis of the disorder and that are functionally integrated by the AKAPs, Ã¢ÂÂdruggableÃ¢ÂÂ proteins that need to be further investigated as possible targets for psychopharmacological treatments of ASD.",2011,,,"Lastly, we found that 70 of the 200 ASD candidate genes were found in CNVs in people with ASD and 100 of these genes were downregulated by ASD implicated microRNAs.",people with ASD,,people,
27,1063,1120," AKAPs integrate genome wide association findings for autism spectrum disorders into signalling networks regulating steroidogenesis, neurite outgrowth and synaptic function",P09.039,"G. Poelmans1, B. Franke2, D. L. Pauls3, J. K. Buitelaar1","1Department of Cognitive Neuroscience, Donders Institute for Brain, Cognition  and Behaviour, Radboud University Nijmegen Medical Centre, Nijmegen,  Netherlands, 2Departments of Human Genetics and Psychiatry, Donders  Institute for Brain, Cognition and Behaviour, Radboud University Nijmegen Medical Centre, Nijmegen, Netherlands,  3Psychiatric and Neurodevelopmental  Genetics Unit, Center for Human Genetic Research, Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States","Background: autism are highly heritable. In recent years, several genome wide association studies (GWASD)  of ASD were published. Methods: We have carried out a bioinformatics analysis using Ingenuity and a systematic literature analysis of 200 genes from five published GWASD  that yielded association with ASD through single nucleotide polymorphisms at P < 0.0001, and we used the results from a sixth published GWASD  to validate our findings. We also searched for overlap between the identified candidate genes and genes located in copy number variations (CNVs) in people with ASD and we identified microRNAs that downregulate gene expression of ASD candidate genes and are deregulated in ASD. Results: A total of 120 of the 200 ASD candidate genes encode proteins that fit into three signalling networks regulating steroidogenesis, neurite outgrowth and synaptic function, and we were able to place 50 other ASD candidate genes in the identified networks. The proteins encoded by 11 ASD linked AKAP (A kinase anchor protein) genes functionally integrate signalling cascades within and between these networks. Lastly, we found that 70 of the 200 ASD candidate genes were found in CNVs in people with ASD and 100 of these genes were downregulated by ASD implicated microRNAs. ConclusionsWe have identified three signalling networks for ASD that contribute to our understanding of the molecular basis of the disorder and that are functionally integrated by the AKAPs, Ã¢ÂÂdruggableÃ¢ÂÂ proteins that need to be further investigated as possible targets for psychopharmacological treatments of ASD.",2011,,,"Lastly, we found that 70 of the 200 ASD candidate genes were found in CNVs in people with ASD and 100 of these genes were downregulated by ASD implicated microRNAs.",people with ASD,,people,
28,1503,693, Alteration in synaptic genes NRXN1 and NLGN4 may predispose to neurological syndromes,P05.113,"V. Becvarova1, L. Hnykova1, H. Machkova1, E. Hlavova1, G. Kreckova1, J. Horacek1, I.  Soldatova1, M. Putzova1, D. Stejskal1, M. Godava2, E. Zemankova3, M. Trkova1","1GENNET , Prague, Czech Republic, 2Department of medical genetics, University Hospital,  Olomouc, Czech Republic, 3E med, Benesov, Czech Republic","Neurexins and neuroligins are proteins functionally connected by interac tion in synaptic network formation and maitenance. According to recent studies alteration in NRXN1 (2p16.3) and NLGN4 (Xp22.3) genes can pre dispose to the wide spectrum of neurodevelopmental disorder including autism, intellectual disability, speech and language de lay, hypotonia and schizophrenia. NRXN1 as one of the largest known human genes (1,1 Mb) tends to frequent intragenic alterations. Whole genome ge notyping was performed using the Illumina HumanCytoSNP 12v2.1.We present 3 children of comparable age (5 6 year old), having different size of microdeletion in isoform alpha1 NRXN1 gene (40 360 kb ) and slightly different phenotype. All children had mild to moderate mental retardation, two of them had speech delay and anxiosity, hypotonia and facial dysmor phism. Two of detected deletions were intronic, the third deletion covered exones 1 to 11 of NRXN1. As the deletion in the NRXN1 may not be fully penetrant, we examine also parental DNA. Microduplication (300 kb) spanning the exones 1,2 and 3 of NLGN4 gene was found in 22 year old patient with hyperkinetic syndrome, attention failure, but without mental retardation. The same duplication was detected in clinically normal mother and maternal cousin with autism. Thanks to this family examination prenatal array diagnosis in a new preg nancy could be provided. Consequently probandÂ´s brother without duplica tion in NLGN4 was born. V. Becvarova: None. L. Hnykova: None. H. Machkova: None. E. Hlavova: None. G. Kreckova: None. J. Horacek: None. I. Soldatova: None. M. Putzova: None. D. Stejskal: None. M. Godava: None. E. Zemankova: None. M. Trkova: None.",2013,,,The same duplication was detected in clinically normal mother and maternal cousin with autism.,cousin with autism,,cousin,
29,3889,359,Disruption of the STK24 and KLF13 genes in a female kinase,P08.011.B,,," and Tsc2 KO animals. This data suggests that the mTOR Disruption of the STK24 and KLF13 genes in a female kinase is involved in the response following chronic social patient with a de novo balanced chromosomal translo- defeat stress and surprisingly point towards a potentially cation t(13;15) and a severe neurological phenotype beneficial effect of manageable stress in autistic children. A. Arlt: None. M. Wendelmuth: None. K. Rolski: M. Kucharczyk1, V. Murcia PieÅ\x84kowski2, K. None. R. Schneider: None. S. Schweiger: None. Wojciechowska3,M. Lejman4,A. Pollak2,M. Rydzanicz2,M. MÅ\x82ynek1, K. Pachota1, A. Madej-Pilarczyk1, A. ",2020,,,This data suggests that the mTOR Disruption of the STK24 and KLF13 genes in a female kinase is involved in the response following chronic social patient with a de novo balanced chromosomal translo- defeat stress and surprisingly point towards a potentially cation t(13;15) and a severe neurological phenotype beneficial effect of manageable stress in autistic children.,,autistic child,,child
30,1202,219, Array CGH with normal karyotype. Utility in pediatrics diagnosis.,P02.030,"M. Perez Sanchez1, A. Mora Guijosa1, S. RoldÃÂ¡n2, J. Barrionuevo Porras2, A. GonzÃÂ¡lez  RamÃÂ­rez3",1Servicio de AnÃÂ¡lisis ClÃÂ­nicos,"Hospital Virgen de las Nieves., Granada, Spain, 2Servicio de PediatrÃÂ­a. Hospital Virgen de las Nieves., Granada, Spain, 3FIBAO. Hospital ClÃÂ­nico San Cecilio., Granada, Spain. Microarray based comparative genomic hybridization (array CGH) has pro vides a relatively quick method to scan the genome for gains and loses of chromosomal material. This new methodologies have led to identification of novel genomic disorder in patients with developmental delay/mental retardation and/or multiple congenital anomalies (DD/MR/MCA), with a significant increase in diagnostic yield .In this study we present the result of array CGH obtained in 150 children with normal karyotype but DD/MR/MCA. The array CGH 60K from agilent platform was performed. In 34 patients (22,66%) was detected a chromosomal deletion or duplicati on previously described like pathogenic copy number variants (CNVs),. In 15 cases (10%) was necessary the analysis of parental samples, showing that 6 anomalies (40%) had occurred de novo and was classified as pathogenic and in 9 cases (60%) appeared to be inherited from an unaffected parent. In a total of 40 patients (26,66%) was possible to detect a pathogenic CNVs .Recent studies suggest that when aCGH is performed with an apparently normal karyotype, the diagnostic yield increases by an additional 8 17%. In our study we have obtained a 26,66% of children with pathogenic CNVs that is higher than the results obtained by other authors. This increase at the detection rate probably is due to the array type utilized.www.eshg.org Abstracts European Human Genetics Conference 201257 www.eshg.orgESHG Posters As a conclusion, array CGH can be implemented routinely after a normal chromosome result when a phenotype of DD/MR/MCA is present, but is also appropriate for patients with autism and apparently balanced trans locations.",2012,,,"This increase at the detection rate probably is due to the array type utilized.www.eshg.org Abstracts European Human Genetics Conference 201257 www.eshg.orgESHG Posters As a conclusion, array CGH can be implemented routinely after a normal chromosome result when a phenotype of DD/MR/MCA is present, but is also appropriate for patients with autism and apparently balanced trans locations.",patient with autism,,patient,
31,955,179, Assessment of Assisted Reproductive t echnology and its associated risk with Autism Spectral Disorder in Indian population,P01.03,"M. P. Mamidala, C. Rahul, N. Rajesh, V. Rajesh","Birla Institute of Science and Technology, Pilani Hyderabad Campus, Hyderabad, India","autisml disorder are hypothesized to be on a rise across the globe and developing countries like India are no exceptions. According to unconfirmed estimates there are about 1.7 million affected individuals in India. Increased globalisation and changing socio economical development seen in last two decades have led to changing lifestyles and increased exposure to various risk factors of autisml disorder. In India, metropolitan cities like Chennai, Hyderabad etc. are showing an increased incidence of stress related disorder like Thyroid malfunction, Polycystic Ovarian disease, infertility etc., and hence assisted reproduction is on the rise among the young urban population. Though similar indications are available in other countries, the suspected association between increased rate of Assisted Reproduction and autisml disorder in India needs to be established. To explore this link, a questionnaire based case control cohort study was conducted in Indian autistic population and preliminary results indicate that ART cases represented 8 10% of the autistic subjects analysed. This is the first report from Indian population indicating the link between Assisted Reproduction and autisml disorder.",2011,,,"To explore this link, a questionnaire based case control cohort study was conducted in Indian autistic population and preliminary results indicate that ART cases represented 8 10% of the autistic subjects analysed.",,autistic population,,population
32,955,179, Assessment of Assisted Reproductive t echnology and its associated risk with Autism Spectral Disorder in Indian population,P01.03,"M. P. Mamidala, C. Rahul, N. Rajesh, V. Rajesh","Birla Institute of Science and Technology, Pilani Hyderabad Campus, Hyderabad, India","autisml disorder are hypothesized to be on a rise across the globe and developing countries like India are no exceptions. According to unconfirmed estimates there are about 1.7 million affected individuals in India. Increased globalisation and changing socio economical development seen in last two decades have led to changing lifestyles and increased exposure to various risk factors of autisml disorder. In India, metropolitan cities like Chennai, Hyderabad etc. are showing an increased incidence of stress related disorder like Thyroid malfunction, Polycystic Ovarian disease, infertility etc., and hence assisted reproduction is on the rise among the young urban population. Though similar indications are available in other countries, the suspected association between increased rate of Assisted Reproduction and autisml disorder in India needs to be established. To explore this link, a questionnaire based case control cohort study was conducted in Indian autistic population and preliminary results indicate that ART cases represented 8 10% of the autistic subjects analysed. This is the first report from Indian population indicating the link between Assisted Reproduction and autisml disorder.",2011,,,"To explore this link, a questionnaire based case control cohort study was conducted in Indian autistic population and preliminary results indicate that ART cases represented 8 10% of the autistic subjects analysed.",,autistic subject,,subject
33,955,179, Assessment of Assisted Reproductive t echnology and its associated risk with Autism Spectral Disorder in Indian population,P01.03,"M. P. Mamidala, C. Rahul, N. Rajesh, V. Rajesh","Birla Institute of Science and Technology, Pilani Hyderabad Campus, Hyderabad, India","autisml disorder are hypothesized to be on a rise across the globe and developing countries like India are no exceptions. According to unconfirmed estimates there are about 1.7 million affected individuals in India. Increased globalisation and changing socio economical development seen in last two decades have led to changing lifestyles and increased exposure to various risk factors of autisml disorder. In India, metropolitan cities like Chennai, Hyderabad etc. are showing an increased incidence of stress related disorder like Thyroid malfunction, Polycystic Ovarian disease, infertility etc., and hence assisted reproduction is on the rise among the young urban population. Though similar indications are available in other countries, the suspected association between increased rate of Assisted Reproduction and autisml disorder in India needs to be established. To explore this link, a questionnaire based case control cohort study was conducted in Indian autistic population and preliminary results indicate that ART cases represented 8 10% of the autistic subjects analysed. This is the first report from Indian population indicating the link between Assisted Reproduction and autisml disorder.",2011,,,"To explore this link, a questionnaire based case control cohort study was conducted in Indian autistic population and preliminary results indicate that ART cases represented 8 10% of the autistic subjects analysed.",,Indian autistic population,,population
34,2693,751, Association and functional significance of SNPs in the AVPR1A gene in autism spectrum disorder in Korean population,P09.027,"H. Yoo, S. Kim, S. Yang, J. Park, M. Park","Seoul National University Bundang Hospital, Seongnam, Korea, Republic of, Seoul  National University College of Medicine, Seoul, Korea, Republic of, Eulji University, Daejon,  Korea, Republic of, National Institute of Animal Science, Wanju, Korea, Republic of","Objectives: The arginine vasopressin receptor 1A gene (AVPR1A) is related to social reciprocity in humans and animals. The objective of this study is to evaluate the association of AVPR1A with autism and the functional significance of the markers. Methods: 1) The probands with ASD and their biological parents were re cruited. Diagnosis was ascertained using ADI R and ADOS. 2) Two micro satellites (RS3, RS1) in the 5Ã¢ÂÂ² flanking region and 2 SNPs in the promoter region of AVPR1A were genotyped. Transmission disequilibrium test and quantitative association test with behavior measures were performed using the FBAT package (v.2.0.2c). 4) For evaluation of the functional significance of the associated marker, luciferase assay was performed. ABSTRACTS POSTERS ESHG 2016 | BARCELONA, SPAIN | WWW. ESHG. ORG 184Back to index Results: Total 212 family trios (9 multiplex families, 644 persons) partici pated. 1) One SNP (rs10877969) was strongly associated with ASD (addi tive p value,1.62x10 6; dominant p value,4.81x10 6). Haplotypes with rs10877969 and rs72945336 revealed statistical significances at the mul tiallelic mode (additive p value,2.2x10 5; dominant p value,1.43x10 5). 2) The rs10877969 was quantitatively associated with Social Responsiveness Scale and all subdomain scores of ADI R (p<0.01). 3) In the luciferase as say with T98G cell line, the luciferase activity of rs7294536A promoter was higher than that of rs7294536G, while rs10877969 allelic variants didnÃ¢ÂÂt influence to promoter activity. Conclusion: We observed significant association of an SNP of AVPR1A with affection status and social phenotypes of ASD, accompanied with functional activity of the marker. Grant support: 1) Healthcare Technology R&D project (A120029), Ministry of Health and Welfare, 2) National Research Foundation of Korea (NRF 2014R1A2A1A11053289), Republic of Kore",2016,,,Methods: 1) The probands with ASD and their biological parents were re cruited.,proband with ASD,,proband,
35,2691,749, Association between copy number variations and savant skills among people with autism spectrum disorder,P09.025,"H. Rosenthal , I. Menashe","Ben Gurion University of the Negev, Beer Sheva, Israel","Background: Savant skills, are reported in 10% 30% of people with autism. The co existence of these two traits suggests com mon underlying mechanisms that require further exploration. Copy number variations (CNVs) are excellent candidate to mutually underlie these two di stinct conditions. Methods: We studied the association between CNVs and savant skills among 1108 children diagnosed with ASD from the Simons Simplex Collection (SSC) database. Savant skills were determined based on five designated questions from the autism diagnostic interview revised (ADI R) questionnaire. CNVs data were retrieved from a genome wide analysis of CNVs in these children. Results: Savant skills were significantly more prevalent in our sample than in other children with ASD in the SSC cohort (42% vs. 29%; P<0.001). Child ren with savant skills had, on average, a higher IQ (93.0ÃÂ±24.2 vs. 79.1ÃÂ±25.5; P<0.001), and a larger head circumference (HC) (54.3ÃÂ±2.55 vs. 53.8ÃÂ±2.60; P , 0.003). Interestingly, savant skills were associated with a lower count of rare CNVs among children with ASD (14.0ÃÂ±5.54 vs. 14.8ÃÂ±6.2 for children with and without savant skills respectively; P , 0.03). In addition, children with exceptional computational ability had lower burden of rare deletions compared to other children (203.46ÃÂ±164.25kb vs. 333.67ÃÂ±715.56kb; P , 6.8x10 5) even after accounting for IQ and socioeconomic status. We also examined whether certain talents are predisposed by specific ASD suscepti bility CNV loci, but no such associations were found. Conclusions: Our findings suggest that CNVs contribute to the presentation of exceptional talents among children with ASD.",2016,,,Results: Savant skills were significantly more prevalent in our sample than in other children with ASD in the SSC cohort (42% vs. 29%; P<0.001).,child with ASD,,child,
36,2691,749, Association between copy number variations and savant skills among people with autism spectrum disorder,P09.025,"H. Rosenthal , I. Menashe","Ben Gurion University of the Negev, Beer Sheva, Israel","Background: Savant skills, are reported in 10% 30% of people with autism. The co existence of these two traits suggests com mon underlying mechanisms that require further exploration. Copy number variations (CNVs) are excellent candidate to mutually underlie these two di stinct conditions. Methods: We studied the association between CNVs and savant skills among 1108 children diagnosed with ASD from the Simons Simplex Collection (SSC) database. Savant skills were determined based on five designated questions from the autism diagnostic interview revised (ADI R) questionnaire. CNVs data were retrieved from a genome wide analysis of CNVs in these children. Results: Savant skills were significantly more prevalent in our sample than in other children with ASD in the SSC cohort (42% vs. 29%; P<0.001). Child ren with savant skills had, on average, a higher IQ (93.0ÃÂ±24.2 vs. 79.1ÃÂ±25.5; P<0.001), and a larger head circumference (HC) (54.3ÃÂ±2.55 vs. 53.8ÃÂ±2.60; P , 0.003). Interestingly, savant skills were associated with a lower count of rare CNVs among children with ASD (14.0ÃÂ±5.54 vs. 14.8ÃÂ±6.2 for children with and without savant skills respectively; P , 0.03). In addition, children with exceptional computational ability had lower burden of rare deletions compared to other children (203.46ÃÂ±164.25kb vs. 333.67ÃÂ±715.56kb; P , 6.8x10 5) even after accounting for IQ and socioeconomic status. We also examined whether certain talents are predisposed by specific ASD suscepti bility CNV loci, but no such associations were found. Conclusions: Our findings suggest that CNVs contribute to the presentation of exceptional talents among children with ASD.",2016,,,"Interestingly, savant skills were associated with a lower count of rare CNVs among children with ASD (14.0ÃÂ±5.54 vs. 14.8ÃÂ±6.2 for children with and without savant skills respectively; P , 0.03).",child with ASD,,child,
37,2691,749, Association between copy number variations and savant skills among people with autism spectrum disorder,P09.025,"H. Rosenthal , I. Menashe","Ben Gurion University of the Negev, Beer Sheva, Israel","Background: Savant skills, are reported in 10% 30% of people with autism. The co existence of these two traits suggests com mon underlying mechanisms that require further exploration. Copy number variations (CNVs) are excellent candidate to mutually underlie these two di stinct conditions. Methods: We studied the association between CNVs and savant skills among 1108 children diagnosed with ASD from the Simons Simplex Collection (SSC) database. Savant skills were determined based on five designated questions from the autism diagnostic interview revised (ADI R) questionnaire. CNVs data were retrieved from a genome wide analysis of CNVs in these children. Results: Savant skills were significantly more prevalent in our sample than in other children with ASD in the SSC cohort (42% vs. 29%; P<0.001). Child ren with savant skills had, on average, a higher IQ (93.0ÃÂ±24.2 vs. 79.1ÃÂ±25.5; P<0.001), and a larger head circumference (HC) (54.3ÃÂ±2.55 vs. 53.8ÃÂ±2.60; P , 0.003). Interestingly, savant skills were associated with a lower count of rare CNVs among children with ASD (14.0ÃÂ±5.54 vs. 14.8ÃÂ±6.2 for children with and without savant skills respectively; P , 0.03). In addition, children with exceptional computational ability had lower burden of rare deletions compared to other children (203.46ÃÂ±164.25kb vs. 333.67ÃÂ±715.56kb; P , 6.8x10 5) even after accounting for IQ and socioeconomic status. We also examined whether certain talents are predisposed by specific ASD suscepti bility CNV loci, but no such associations were found. Conclusions: Our findings suggest that CNVs contribute to the presentation of exceptional talents among children with ASD.",2016,,,Conclusions: Our findings suggest that CNVs contribute to the presentation of exceptional talents among children with ASD.,child with ASD,,child,
38,2691,749, Association between copy number variations and savant skills among people with autism spectrum disorder,P09.025,"H. Rosenthal , I. Menashe","Ben Gurion University of the Negev, Beer Sheva, Israel","Background: Savant skills, are reported in 10% 30% of people with autism. The co existence of these two traits suggests com mon underlying mechanisms that require further exploration. Copy number variations (CNVs) are excellent candidate to mutually underlie these two di stinct conditions. Methods: We studied the association between CNVs and savant skills among 1108 children diagnosed with ASD from the Simons Simplex Collection (SSC) database. Savant skills were determined based on five designated questions from the autism diagnostic interview revised (ADI R) questionnaire. CNVs data were retrieved from a genome wide analysis of CNVs in these children. Results: Savant skills were significantly more prevalent in our sample than in other children with ASD in the SSC cohort (42% vs. 29%; P<0.001). Child ren with savant skills had, on average, a higher IQ (93.0ÃÂ±24.2 vs. 79.1ÃÂ±25.5; P<0.001), and a larger head circumference (HC) (54.3ÃÂ±2.55 vs. 53.8ÃÂ±2.60; P , 0.003). Interestingly, savant skills were associated with a lower count of rare CNVs among children with ASD (14.0ÃÂ±5.54 vs. 14.8ÃÂ±6.2 for children with and without savant skills respectively; P , 0.03). In addition, children with exceptional computational ability had lower burden of rare deletions compared to other children (203.46ÃÂ±164.25kb vs. 333.67ÃÂ±715.56kb; P , 6.8x10 5) even after accounting for IQ and socioeconomic status. We also examined whether certain talents are predisposed by specific ASD suscepti bility CNV loci, but no such associations were found. Conclusions: Our findings suggest that CNVs contribute to the presentation of exceptional talents among children with ASD.",2016,,,"Background: Savant skills, are reported in 10% 30% of people with autism.",people with autism,,people,
39,1056,1113, Association of the ciliary gene AHI1 with autism,P09.032,"H. Y. Kroes, S. Kevelam, R. van Ã¢ÂÂt Slot, C. G. De Kovel, M. Poot",Dept,"of Medical Genetics, Utrecht, Netherlands. Joubert syndrome (JBTS) is an autosomaal recessive disorder characterized by hypoplasia of the cerebellar vermis, the characteristic neuroradiologic Ã¢ÂÂmolar tooth sign,Ã¢ÂÂ and neurologic symptoms, including dysregulation of breathing and developmental delay. JBTS also includes variable features such as retinal dystrophy and renal anomalies. Up to 27% of JBTS patients show features of autism. Thus far, 10 genes for JBTS have been identified. The ciliary gene AHI1 has been found mutated in 7 to 16% of cases with JBTS. On the other hand, of the 39 genes associated with autism, 29 (74%) encode ciliary genes. This association of ciliary genes with autism is highly significant (P < 0.001; two sided Fischer exact test). Therefore, we tested the hypothesis that ciliary genes may be involved in autism, by performing a candidate gene association study with a cohort of 84 patients with autism vs. 145 healthy controls for the 10 known JBTS genes (AHI1, NPHP1, CEP290, ARL13B, RPGRIP1L, MKS3, CC2D2A, OFD1, TMEM216, and INPP5E). For AHI1 we found nominal association with odds ratioÃ¢ÂÂs from 3.077 to 9.174 and p values for association < 0.0001 for SNPs rs12179084, rs2327587 and rs7766656. Our data suggest that dysfunction of primary cilia may constitute an important neuropathological pathway in autism.",2011,,,"Therefore, we tested the hypothesis that ciliary genes may be involved in autism, by performing a candidate gene association study with a cohort of 84 patients with autism vs. 145 healthy controls for the 10 known JBTS genes (AHI1, NPHP1, CEP290, ARL13B, RPGRIP1L, MKS3, CC2D2A, OFD1, TMEM216, and INPP5E).",patient with autism,,patient,
40,2858,1881, Autism and seizure in a patient with maternal derived 15q11,P09.07,"M. Martinez Atienza, S. Garcia Linares, A. Rubio Lopez de la Oliva, A. Gonzalez  Ramirez., A. Mora Guijosa, M. Perez Sanchez.,","Complejo Hospitalario de Granada SAS., Granada., Spain, Instituto biosanitario de  Granada., Granada., Spain, FIBAO. Complejo Hospitalario de Granada. SAS., Granada.,  Spain."," Proximal 15q duplications that include the critical region for Prader Willi syndrome (PWS) and angelman syndrome (ASD)  have been reported in pati ents with autism. Of the cases of autism reported to have duplications of the PWS/ASD  critical region, all have been maternal in origin. We describe here a female patient in wich autism segregates with maternal inherance of a proximal 15q duplication. The patient was born at 37 gesta tion weeks with a weigh of 3150 gr. and no incidences in neonatal period. In posterior pediatric revission was detected language and cognitive delayed, supected due to autism (AD), at 3 years age preseted epilepsy epi sodies. The familiar history include fater and maternal grandmother with epilepsy, maternal uncle with autism and a sister healty. Comparative Genomic Hybridization (CGH Array) with the Nimblegen CGX Cytogenetic Microarrays platform, suplied by PerkinElmer, was performed for the patient and parentsThe CGH Array was normal in the father and both mother and patient presented a duplication of 5,56 Mb in 15q11.2 q13.1 PWS/ASD  region (arr(hg19)15q11.2 q13.1(22,822,019 28,379,369)x3). The Array CGH from grandmother, maternal uncle and sister were no done. This results are according with previous studies that show the correlation between this duplication and autism when have been maternal in origin. The family history with the maternal uncle diagnosed of autistic dis order also agree this posibility. The epilepsy, presented in some members of both families, can be originated for another unknow genetics alteration, without any correlation with the PSW/ASD  region. E",2016,,, Proximal 15q duplications that include the critical region for Prader Willi syndrome (PWS) and angelman syndrome (ASD)  have been reported in pati ents with autism.,patient with autism,,patient,
41,2858,1881, Autism and seizure in a patient with maternal derived 15q11,P09.07,"M. Martinez Atienza, S. Garcia Linares, A. Rubio Lopez de la Oliva, A. Gonzalez  Ramirez., A. Mora Guijosa, M. Perez Sanchez.,","Complejo Hospitalario de Granada SAS., Granada., Spain, Instituto biosanitario de  Granada., Granada., Spain, FIBAO. Complejo Hospitalario de Granada. SAS., Granada.,  Spain."," Proximal 15q duplications that include the critical region for Prader Willi syndrome (PWS) and angelman syndrome (ASD)  have been reported in pati ents with autism. Of the cases of autism reported to have duplications of the PWS/ASD  critical region, all have been maternal in origin. We describe here a female patient in wich autism segregates with maternal inherance of a proximal 15q duplication. The patient was born at 37 gesta tion weeks with a weigh of 3150 gr. and no incidences in neonatal period. In posterior pediatric revission was detected language and cognitive delayed, supected due to autism (AD), at 3 years age preseted epilepsy epi sodies. The familiar history include fater and maternal grandmother with epilepsy, maternal uncle with autism and a sister healty. Comparative Genomic Hybridization (CGH Array) with the Nimblegen CGX Cytogenetic Microarrays platform, suplied by PerkinElmer, was performed for the patient and parentsThe CGH Array was normal in the father and both mother and patient presented a duplication of 5,56 Mb in 15q11.2 q13.1 PWS/ASD  region (arr(hg19)15q11.2 q13.1(22,822,019 28,379,369)x3). The Array CGH from grandmother, maternal uncle and sister were no done. This results are according with previous studies that show the correlation between this duplication and autism when have been maternal in origin. The family history with the maternal uncle diagnosed of autistic dis order also agree this posibility. The epilepsy, presented in some members of both families, can be originated for another unknow genetics alteration, without any correlation with the PSW/ASD  region. E",2016,,,"The familiar history include fater and maternal grandmother with epilepsy, maternal uncle with autism and a sister healty.",uncle with autism,,uncle,
42,4031,126, Autism Comorbidities: Role of CHD8 during the Development of the Enteric Nervous System,C12.4,G. L. Hayot,"*, C. Weber, C. Golzio","IGBMC, Illkirch Graffenstaden, France Introduction: CHD8 is mutated in 0.21% of total autism cases. Recently, clinical reas sessment highlighted the high prevalence of gastrointestinal(GI) defects in ASD. Transient suppression of chd8 in zebra ï¬sh led to a reduced number of enteric neurons and a decreased gut mobility which likely drive the GI problems(Bernier et al. Cell, 2014). Materials and Methods: To understand how the loss of chd8 causes the loss of mature enteric neurons, we generated and characterized a stable mutant zebra ï¬sh line: Tg(chd8 sa19827;phox2bb:GFP ) in which the neuronal pro genitors (i.e. enteric neural crest cells, eNCCs) are labeledwith GFP. Results: First, we observed a migration delay and reduced proliferation of eNCCs during early developmentand a decreased number of mature neurons and more speciï¬cally serotonergic neurons at 5 days post fertilization. Second, transcriptomic analyses of eNCCs revealed theupregulation of the serotonin receptor htr6 and the dysregulation of several actors of the Wnt/Planar Cell Polarity and RhoA pathways, extracellular matrix compo nents, and several genes from the human morbid genome. Third, behavioral analyses showed i) hyperactivity of the mutant chd8 larvae and ii) normal sociability and no aggressive behavior in the adult mutants. Conclusion: We showed that the decreased number of enteric neurons in absence of chd8 is due to a combination of proliferation, migration and differentiation defects of the eNCCs. Moreover, our transcriptomic data identi ï¬ed druggable targets in chd8 associated signaling pathwaysand we are currently performing rescue experiments with small molecules in the chd8 mutants. Grants: ANR 10 IDEX 0002 02, ANR 10 LABX 0030 INRT G. L. Hayot: None. C. Weber: None. C. Golzio: None.",2020,,,"IGBMC, Illkirch Graffenstaden, France Introduction: CHD8 is mutated in 0.21% of total autism cases.",,autism case,,case
